"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Species"
"Aepyceros melampus",-1.86237995829369,0.752274045977393,0.0579246789396546,0.16774499734388,0.0771493977654517,-0.238989535191171,0.103362941635957,-0.226100748829282,0.168392692140617,-0.0664154433679879,-0.0235909862154307,0.130377548811955,-0.154327104512702,"Aepyceros melampus"
"Caracal caracal",-1.98747287383074,-0.504100295480533,0.889462372697569,0.030197983611187,-1.29271392792602,0.628525226967281,0.536586995843048,0.221633190184898,-0.167003999179516,0.300620670549206,-0.192957247490044,0.233605732655455,0.298803723298355,"Caracal caracal"
"Equus quagga",-2.57977126682399,0.908375907638374,0.206844972152624,0.0576975371660758,-0.0392581146857681,-0.272973355458378,-0.0664994290983696,-0.200296276843022,-0.137613504205873,-0.224694340821294,0.196196939965296,-0.0964572118843662,-0.282646504062455,"Equus quagga"
"Ictonyx striatus",-0.625060364740051,-2.03833236344144,-0.979455079037723,-0.550428805088968,-0.909486442070025,1.1836312746875,0.151259805249238,0.693737895991184,0.471909940705925,-0.226751089396161,-0.0546015556264263,-0.729541808726276,0.398640037146895,"Ictonyx striatus"
"Kobus ellipsiprymnus",-2.50865630520414,0.797640449438891,0.238076641238287,0.0625714685514044,-0.0932195126883106,-0.171001316515568,-0.158521372615326,-0.0407140999881409,-0.412813308901553,-0.126033102190573,0.0823164390208714,-0.122369426413439,0.0739821238044115,"Kobus ellipsiprymnus"
"Lepus capensis",-0.766956101126156,-0.694673393906377,-1.77299375078972,-0.127803561770969,-0.00830621331476718,0.33694326368349,-0.419283546214616,-0.0916796892695846,-0.551513542370616,0.0384642048620848,0.0075267144187697,-0.0864089532480132,0.200601781913318,"Lepus capensis"
"Oreotragus oreotragus",-1.43967662082164,0.456940625777883,-0.123016885607591,0.424594040615983,-0.013454163381442,0.042877975083766,-0.142077259660994,0.0219820442795773,-0.273318463104922,0.427406478361392,-0.0698423575080208,0.24884446092946,-0.0172213600823029,"Oreotragus oreotragus"
"Orycteropus afer",-2.4144154010547,-0.323549998172231,1.16901306568562,-0.212903866941064,-1.24124772092593,0.367672484978299,0.591329685402573,-0.022366620282662,-0.00257314383340162,-0.101143274147389,0.0769272563952317,0.0705415668774228,0.0248309068671014,"Orycteropus afer"
"Procavia capensis",0.037236552311795,0.845776398684014,-0.517371142681432,1.30234900893418,-0.992730004503177,0.221708711142525,-0.569843613962219,-0.196951273258666,-0.891010434130722,-0.473550745783832,-1.15573768709501,-0.0124543625228151,0.085454257099763,"Procavia capensis"
"Raphicerus campestris",-1.37704647752646,0.424415491233167,-0.174496302345069,0.479255384715807,-0.0250749577887071,0.0835333820462636,-0.138197810495531,0.0329544381189735,-0.287240807546151,0.469246847583975,-0.0816719722264805,0.262598117006069,-0.030966621752617,"Raphicerus campestris"
"Redunca fulvorufula",-1.78046379255309,0.605625462181216,0.0501934986869439,0.227662015198494,-0.0181754397086574,-0.106959387057654,-0.135917739688524,-0.0947634630519898,-0.185792434596227,0.152708999438716,0.022937100637912,0.0898727182772863,-0.0615875243714593,"Redunca fulvorufula"
"Sylvicapra grimmia",-1.22743738253966,-0.289939289812833,-0.842483102839273,-0.998569274147873,0.365724265762364,-0.350001094580063,-0.601065711499329,0.969165007988787,-0.251143441412064,0.186540549030064,-0.172720398597785,-0.322206468949847,0.725102436909305,"Sylvicapra grimmia"
"Tragelaphus oryx",-2.48973275088878,0.796859948805679,0.511714254747386,0.125582917724222,0.308302042725685,-0.30815775516748,-0.255294540038172,0.750609326561365,-0.0425667036159832,-0.337619735789911,0.224996260288993,-0.711871627499506,0.0550387143075854,"Tragelaphus oryx"
"Tragelaphus strepsiceros",-2.44172240430504,0.851030687817118,0.193379973530332,0.0608469673753065,-0.052780804471612,-0.243634334246146,-0.0750072119780254,-0.185199180116274,-0.13434860883715,-0.179876618796836,0.173029530019779,-0.0939079701106611,-0.281565398114335,"Tragelaphus strepsiceros"
"Philantomba monticola",0.126828006521972,-1.76080901768461,-0.228293312005275,-0.361545098977705,0.634414713181631,-0.396151817474982,0.266467244607698,-0.0767236303986812,0.562054723835789,0.313120479821648,-0.213755902619593,0.203095828686488,0.308331349163873,"Philantomba monticola"
"Felis silvestris",-1.69228440811923,-0.660211138069951,0.584970001644812,0.335128726276892,-1.34344111439924,0.854197137968241,0.564996337130993,0.166535047664694,-0.249470709375822,0.395345850004848,-0.167391869242117,0.226338589677731,0.210867173538048,"Felis silvestris"
"Genetta tigrina",1.34291472774593,-1.89295310066072,-0.850104321712375,-0.0044369574203011,0.301101185118922,-0.494547026813744,0.917097035288785,0.173423339115893,-0.530336085253546,0.60636195680601,0.93945457071794,-0.633620437828828,-0.0789613224187002,"Genetta tigrina"
"Potamochoerus larvatus",-0.827603911730087,-1.5687764901603,0.539409861228494,-1.17976843936031,0.544905024164001,-1.05709651241272,0.0499405780669216,-0.253469830544756,0.38846863351585,-0.442707759509431,0.291259255799881,-0.453465825579076,-0.308066586106939,"Potamochoerus larvatus"
"Tragelaphus scriptus",-1.78898479239837,0.724478974093286,0.0376399091889916,0.194556214916164,0.080361551269532,-0.218571916761055,0.0917788437986008,-0.207779201540344,0.155065462569583,-0.0167278962558074,-0.038702580838271,0.159376202192727,-0.12174156013047,"Tragelaphus scriptus"
"Civettictis civetta",-0.267600672294376,-2.31772803928303,0.30547772087811,-0.61725936545869,0.580371361303009,-0.314615918170099,-0.650787909821671,0.682282614403921,-0.422110261039405,-0.36415978456172,0.326957943932022,0.691221563926019,0.187524890117148,"Civettictis civetta"
"Colobus guereza",2.65204039299756,0.178088854607686,1.16556460000969,-0.490073397288426,0.142462484278723,-0.435317293842216,0.446272426827839,-0.0321644433282841,-0.216364948781549,0.279336239938005,-0.0469979748666179,-0.232828096680588,-0.149640465820139,"Colobus guereza"
"Genetta genetta",1.33872716567644,-1.88859708624124,-0.849417820564514,-0.0111391320818368,0.297957470131959,-0.497813448969137,0.913840249171704,0.177872302029706,-0.533329072238055,0.614508115668082,0.938159217787991,-0.628457309136817,-0.0794582752188909,"Genetta genetta"
"Hyaena hyaena",-1.19568443693152,-0.823385364528178,1.3054929663882,0.416198520533944,0.140398407773804,-0.694994449865885,0.348092400834039,-0.956964363520642,0.107506167346969,0.0451784372623637,0.0253332379954581,0.282437352949564,-0.136277986686075,"Hyaena hyaena"
"Loxodonta africana",-4.01582300218001,1.32480291363708,0.434492964140003,0.143527918380665,0.0236685198426045,-0.456646481716823,-0.174447547504415,-0.0319618934940303,-0.788540600612807,-0.478977546852604,0.195080572094435,-0.217776894068317,0.746646389673114,"Loxodonta africana"
