"trophic.links.resource","trophic.links.consumer","trophic.links.documeted","Region","trophic_id"
"Aepyceros melampus","Canis mesomelas",1,"Afrotropic",1
"Caracal caracal","Canis mesomelas",1,"Afrotropic",2
"Equus quagga","Canis mesomelas",1,"Afrotropic",3
"Ictonyx striatus","Canis mesomelas",1,"Afrotropic",4
"Kobus ellipsiprymnus","Canis mesomelas",1,"Afrotropic",5
"Lepus capensis","Canis mesomelas",1,"Afrotropic",6
"Oreotragus oreotragus","Canis mesomelas",1,"Afrotropic",7
"Orycteropus afer","Canis mesomelas",1,"Afrotropic",8
"Procavia capensis","Canis mesomelas",1,"Afrotropic",9
"Raphicerus campestris","Canis mesomelas",1,"Afrotropic",10
"Redunca fulvorufula","Canis mesomelas",1,"Afrotropic",11
"Sylvicapra grimmia","Canis mesomelas",1,"Afrotropic",12
"Tragelaphus oryx","Canis mesomelas",1,"Afrotropic",13
"Tragelaphus strepsiceros","Canis mesomelas",1,"Afrotropic",14
"Philantomba monticola","Caracal aurata",1,"Afrotropic",15
"Felis silvestris","Caracal caracal",1,"Afrotropic",16
"Genetta tigrina","Caracal caracal",1,"Afrotropic",17
"Ictonyx striatus","Caracal caracal",1,"Afrotropic",18
"Lepus capensis","Caracal caracal",1,"Afrotropic",19
"Oreotragus oreotragus","Caracal caracal",1,"Afrotropic",20
"Philantomba monticola","Caracal caracal",1,"Afrotropic",21
"Potamochoerus larvatus","Caracal caracal",1,"Afrotropic",22
"Procavia capensis","Caracal caracal",1,"Afrotropic",23
"Raphicerus campestris","Caracal caracal",1,"Afrotropic",24
"Redunca fulvorufula","Caracal caracal",1,"Afrotropic",25
"Sylvicapra grimmia","Caracal caracal",1,"Afrotropic",26
"Tragelaphus scriptus","Caracal caracal",1,"Afrotropic",27
"Aepyceros melampus","Crocuta crocuta",1,"Afrotropic",28
"Civettictis civetta","Crocuta crocuta",1,"Afrotropic",29
"Colobus guereza","Crocuta crocuta",1,"Afrotropic",30
"Equus quagga","Crocuta crocuta",1,"Afrotropic",31
"Felis silvestris","Crocuta crocuta",1,"Afrotropic",32
"Genetta genetta","Crocuta crocuta",1,"Afrotropic",33
"Genetta tigrina","Crocuta crocuta",1,"Afrotropic",34
"Hyaena hyaena","Crocuta crocuta",1,"Afrotropic",35
"Kobus ellipsiprymnus","Crocuta crocuta",1,"Afrotropic",36
"Loxodonta africana","Crocuta crocuta",1,"Afrotropic",37
