Community,EVI_12,EVI_1,EVI_10,EVI_11,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_8,EVI_9
Aberdare,3859.686168,3849.436348,3652.502671,3831.832079,3729.28969,3796.842176,3915.269461,3784.616231,3617.612543,3714.109061,3937.088786,3660.774644
Abijatta Shalla,706.4079041,676.6498077,809.7734371,739.6963382,700.7397308,845.8065012,997.5781771,1120.627139,1418.304979,1508.196386,1285.274207,1036.359998
Abou Telfane,1690.733341,1540.464154,2370.663037,1939.274375,1450.646749,1490.253962,1784.682581,2674.862136,4330.399104,5174.691694,4269.955789,2986.807711
Addax,708.8332039,742.0337523,711.0932401,712.6695888,763.6808555,769.9781703,766.5687646,762.5381376,759.7153503,758.4268001,744.2069246,729.5742603
Aguas Emendadas,4406.277442,4597.997388,3664.545675,4234.76758,4496.431938,4199.09348,3414.803431,2878.838112,2477.70525,2314.783794,2459.733896,2803.193999
Ai Ais,533.9699255,552.1228714,556.7484249,544.91584,588.4509113,608.3562144,643.964902,649.5331159,625.1364372,605.9640605,578.3535299,556.4485097
Ailao Shan,3103.600113,3066.059804,3561.134392,3235.566851,3205.123257,3830.295113,4020.471483,2671.438393,3089.355798,3282.133345,3216.511641,3490.157984
Air and Tenere,737.3938775,764.575072,733.7169578,733.7798115,784.712558,779.5956232,777.1794858,776.5059019,771.1717719,770.1226173,762.9849533,749.6354871
Akagera,3399.45761,3108.263943,3569.424195,3784.199181,3229.47855,3589.168932,3625.087304,2853.94747,2297.535312,2219.164453,2530.408554,2835.58811
Alaungdaw Kathapa,4070.252839,3548.426136,4528.156488,4384.566364,2764.632726,2820.703262,3827.754597,4699.080395,4424.207245,4295.319297,4753.059186,4642.605955
Alto Rio Negro,4860.016859,4534.507324,4470.621212,4734.649307,4688.670147,4359.049266,4074.329801,3942.213802,4241.759898,4569.035985,4706.200063,4785.306036
Amadeu Botelho,4901.818903,4954.07128,4161.866527,4703.215062,4832.99015,4471.214242,3957.377988,3524.513879,3167.077777,2920.71699,3138.309637,3752.05943
Amazonia,4368.96045,4207.779476,5273.591846,4812.198557,4165.821001,4247.11263,4659.663468,5005.728928,5343.879064,5509.822112,5395.964179,5453.660632
Amboseli,1934.653271,1780.818238,1443.907541,1825.80822,1799.066815,2037.926021,1917.817038,1573.63039,1400.110976,1359.61142,1314.139636,1311.265517
Anamalai,3621.962518,3362.842524,3761.850481,3827.656464,3366.357889,3529.403295,4042.675029,3751.870814,3716.77195,3959.255999,4073.014485,3624.672103
Anavilhanas,3868.788783,3719.522065,4088.332431,4028.739998,3847.321875,3655.97821,3579.868957,3900.40278,4066.612848,4269.656782,4420.106073,4316.4272
Ansongo Menaka,932.5433182,929.7482999,966.1352857,958.3518651,923.3488799,899.2559754,868.598537,897.1603728,1137.970317,1480.491152,1151.913302,1009.500555
Arabuko Sokoke,3757.75819,3666.705715,4236.044489,4010.509475,3739.225587,4024.572586,4312.676649,4220.103336,4204.195361,4097.242632,4001.142309,4137.959389
Arawale,2405.899915,1928.92071,2671.32048,3006.140617,1919.856217,2511.63253,2410.731014,1957.461542,1763.691827,1644.75048,1673.447803,2053.101405
Arly Partial,1377.147539,1375.434548,1953.080934,1483.312998,1444.00495,1709.194283,2231.935226,3075.841535,3939.143083,4470.917652,4502.651773,3022.949604
Arly Total,1299.062705,1305.950942,2079.332699,1488.430204,1391.219283,1649.715167,2296.12814,3276.446499,4255.889549,4510.013615,4368.272614,3024.222513
Arusha,4082.492864,3904.784993,3660.976628,4134.955331,3766.878948,3850.193317,3627.412144,3152.829447,2977.194259,3300.282659,3332.967234,3424.143824
Atasta,4346.947707,4393.945997,4239.720967,4156.438353,4569.461784,4793.77401,4866.636589,4923.768967,4881.035777,4794.406608,4549.494338,4241.457921
