Community,Community_unify,Long,Lat,Region,Temp_deep_Mean,Temp_deep_SD,present_temp,present_temp_sea,EVI_month.mean,EVI_seasonality,Elev_mean,Elev_range,Shannon
Aberdare,Aberdare,36.68,-0.38,Afrotropic,10.73,2.48,11,8.94,0.38,0.03,3213.489316,1465,1.357
Abijatta Shalla,Abijatta Shalla,38.53,7.55,Afrotropic,18.56,1.91,19.9,12.77,0.1,0.3,1605.820488,507,1.095
Abou Telfane,Abou Telfane,18.89,12.08,Afrotropic,24.36,1.99,25.6,24.76,0.26,0.49,697.1958847,892,0.018
Addax,Addax,9.5,19.48,Afrotropic,23.24,3.38,25.4,62.92,0.07,0.03,659.3882582,134,0
Ai Ais,Ai Ais,17.33,-27.85,Afrotropic,19.74,2.04,20.2,41.49,0.06,0.07,633.1408921,1162,0.87
Air and Tenere,Air and Tenere,9.67,19.12,Afrotropic,23.79,3.39,26,62.38,0.08,0.02,590.28989,162,0
Akagera,Akagera,30.71,-1.64,Afrotropic,19.39,1.88,20.4,7.42,0.31,0.17,1372.772069,545,1.049
Amboseli,Amboseli,37.24,-2.64,Afrotropic,21.96,2.12,22,12.31,0.16,0.16,1134.660293,85,0.476
Ansongo Menaka,Ansongo Menaka,1.7,15.53,Afrotropic,27.55,2.86,30.4,36.84,0.1,0.17,323.9132651,56,0.734
Arabuko Sokoke,Arabuko Sokoke,39.89,-3.33,Afrotropic,25.68,0.95,26.2,11.41,0.4,0.05,75.86457137,190,0.827
Arawale,Arawale,40.15,-1.41,Afrotropic,26.32,1.07,27,12.62,0.22,0.2,88.92451185,43,0
Arly Partial,Arly Partial,1.14,11.4,Afrotropic,27.16,2.15,28.7,21.71,0.25,0.48,197.0341477,116,0.429
Arly Total,Arly Total,1.44,11.55,Afrotropic,27.24,2.16,28.8,22.26,0.26,0.49,190.7474149,191,0.182
Arusha,Arusha,36.85,-3.25,Afrotropic,18.42,2.53,18.2,14.15,0.36,0.1,1809.722031,2686,1.678
Awash,Awash,40.04,8.91,Afrotropic,22.47,1.89,24.3,13.15,0.17,0.23,1014.069111,392,0.108
Badiar,Badiar,-13.28,12.59,Afrotropic,28.33,1.97,28.9,22.61,0.33,0.38,58.87787206,125,1.087
Bahr Salamat,Bahr Salamat,19.43,10.56,Afrotropic,25.68,1.9,26.8,22.44,0.26,0.5,424.2988328,129,0.036
Bale,Bale,39.68,6.93,Afrotropic,6.78,2.56,8.4,7.23,0.23,0.18,3708.184249,1604,0.534
Banc dArguin,Banc dArguin,-15.79,20.1,Afrotropic,26.39,2.54,27.7,36.53,0.08,0.02,52.04348618,92,0
Bangweulu,Bangweulu,30.15,-11.94,Afrotropic,20.54,2.25,21.4,22.71,0.21,0.19,1167.315812,14,0.118
