Community,mean,stdDev,min,max
Aberdare,3213.489316,306.4519955,2515,3980
Abijatta Shalla,1605.820488,65.02984208,1554,2061
Abou Telfane,697.1958847,159.3033933,450,1342
Addax,659.3882582,12.90835703,578,712
Aguas Emendadas,639.8536236,78.8127261,561,1113
Ai Ais,633.1408921,198.2363865,286,1448
Ailao Shan,2265.814971,492.9347138,904,3143
Air and Tenere,590.28989,18.25902913,494,656
Akagera,1372.772069,119.0989808,1280,1825
Alaungdaw Kathapa,630.6726012,173.3226616,283,1141
Alto Rio Negro,137.069517,82.23244742,73,729
Amadeu Botelho,568.8338123,77.98598169,442,751
Amazonia,118.355349,20.48688222,55,177
Amboseli,1134.660293,9.071573728,1114,1199
Anamalai,1129.541752,510.3359465,315,2504
Anavilhanas,37.78334685,16.86128463,7,68
Ansongo Menaka,323.9132651,9.320549947,296,352
Arabuko Sokoke,75.86457137,53.05680088,-4,186
Arawale,88.92451185,5.837252584,59,102
Arly Partial,197.0341477,16.89354476,161,277
Arly Total,190.7474149,23.69244666,156,347
Arusha,1809.722031,517.4001357,1259,3945
Atasta,1.968382418,1.840863959,-11,19
Awash,1014.069111,46.37380485,857,1249
Bach Ma,412.0213838,303.4980521,-11,1443
Badiar,58.87787206,15.82594338,27,152
Bahr Salamat,424.2988328,15.75752224,396,525
Bahuaja-Sonene,608.4768012,209.5637338,291,1642
Baima Xueshan,2538.984715,356.7059837,1631,3501
Bako,43.31039976,57.39041234,-8,295
Balbina Reservoir,99.88858625,31.34174564,49,263
Bale,3708.184249,206.8734649,2646,4250
Balta,297.8028752,19.50308383,244,359
Banados del Este,15.88276594,3.154500772,3,44
Banc dArguin,52.04348618,8.138090259,6,98
Bandhavgarh,475.1862756,49.43815646,396,822
Bandipura,874.1312428,60.1720417,736,1200
Bangweulu,1167.315812,1.69088725,1160,1174
Banhine,93.73939897,5.334709741,77,111
Barail,237.3188531,247.4481887,15,1166
Barito Ulu,566.4189148,243.8701221,232,1373
Barro Colorado,118.2694631,80.34864751,-6,448
Batang Ai,207.8285093,89.20564929,105,717
Bazaruto,19.6336554,15.90801118,-8,109
Belum Temengor,331.3251163,158.8936006,112,868
Beni,183.758009,6.961185723,160,199
Benoue,395.1623182,42.80266636,325,748
Berbak,27.91198916,4.116035261,3,39
Betung Kerihun,333.6442821,120.3135688,65,805
Bicuar,1240.411325,30.26936962,1180,1309
Binder Lere,293.7119834,30.14302531,233,368
Bitahai,3730.616509,194.4415715,3354,4467
Bladen,21.81398979,10.96777455,-16,106
Bontioli,266.1864042,17.08384926,239,362
Bosque Mbaracayu,210.9354124,31.75053648,144,290
Bosques Petrificados,290.8645949,78.27813862,122,447
Boumba Bek,563.1231807,42.0305876,479,716
Brasilia National 1,852.5086616,74.10409808,710,1219
Budongo,1015.859703,66.999376,763,1186
Buenaventura,1733.799601,594.0603404,704,3368
Buffalo,881.7200908,148.3127262,502,1431
Bukit Barisan Selatan,417.058898,190.2112151,18,969
Bukit Kutu,499.4612676,373.0695919,37,1667
Bururi Forest,1653.648113,313.1330536,908,2308
Cameia,1093.665372,2.210301358,1087,1101
Campo Maan,593.0438186,172.5375832,178,1041
Canaima,1617.513991,553.3790181,836,2670
Cangandala,1100.096704,20.85129527,1058,1167
Cantao,170.0241806,6.684303006,125,213
Caraca,739.6061444,77.06279629,534,1022
Carajas Forest,253.9115098,85.21755542,142,647
Cat Ba,73.13556006,60.94326033,-49,291
Cat Tien,150.9156537,31.41843457,91,391
Cayambe Coca,2861.061764,741.8174541,1431,4540
Celaque,1766.019408,483.2983055,859,2845
Cerro Cora,340.8250168,85.6775884,225,658
Chandless,264.101089,22.95522279,207,331
Chandoli,785.7147496,165.3337965,189,1091
Chekubul,43.12094692,17.24709788,2,88
Chenkan,76.7045524,23.55929482,23,155
Chiquibul,24.68402752,8.219392925,3,133
Chitwan,324.7222544,146.134366,166,725
Chobe,960.035163,6.824170832,938,978
Cliff of Bandiagara,433.7744866,83.13809679,299,567
Cocha Cashu,414.9229819,20.8309014,363,477
Cockscomb,339.6371532,173.9410291,74,1050
Columbia River Forest,487.732242,214.3733049,105,1065
Comoe,263.719549,21.14747315,210,388
Conkouati Douli,49.34428001,22.95195561,7,139
Corcovado,182.1541787,126.3716628,0,644
Cordillera Central,1596.671735,387.0766023,621,2987
Cuzco Amazonico,252.4403406,13.01761038,197,278
Daan Viljoen,1686.722001,110.8176743,1451,1964
Danum Valley,332.5725299,151.366424,93,961
Darien,337.1354421,270.4206627,77,1198
Daweishan,942.8372612,541.3716291,91,2332
Defensores del Chaco,341.8002651,114.3515124,154,620
Deux Bales,267.7729707,13.69065882,237,315
Dibru-Saikhowa,120.0751114,3.981653991,97,135
Doi Inthanon,1358.146608,390.2832659,589,2572
Doi Suthep-Pui,627.1532021,333.1566524,294,1688
East Centla,1.447969231,1.834214978,-14,14
El Palmar,31.28340644,15.6698527,-3,70
El Rey,1169.845932,292.3052339,730,2083
Eravikulam,1641.680861,327.6095332,447,2674
Erawan,469.1948902,224.1692992,58,960
Estacao Ecologica do Panga,878.1544248,37.40903667,780,976
Estancia Guaycolec,69.24937365,2.078725046,61,84
Estancia Sombrero,146.6739778,26.82606715,102,229
Etosha,1090.524575,9.508233823,1075,1125
Fada Archei,575.3034624,61.81180425,483,770
Fazenda Cauaia,721.8770679,53.90627644,626,899
Furna Feia,103.5379887,30.38860488,39,266
Gambella,426.3327426,2.889640193,416,437
Garamba,784.70751,14.7174303,744,832
Gile,122.6755214,25.12577577,64,197
Gishwati,2204.394751,299.2316479,1458,2836
Golden Gate Highlands,1933.756393,175.6499558,1649,2700
Gombe,978.2096308,225.0180635,762,1720
Gonarezhou,378.3150451,39.35280174,278,494
Gorongosa,25.68524044,4.826698291,17,48
Gorumara,113.7111115,15.73803407,87,164
Great Himalayan,3672.193428,722.187258,1682,5287
Gunung Leuser,2515.19589,399.2479301,1232,3448
Gunung Palung,284.0379113,267.0003138,13,1136
Hainan Bawangling,385.0633249,303.0888049,24,1510
Hells Gate,1980.641827,113.9276362,1660,2425
Hluhluwe,249.2075433,105.8361189,80,583
Hoollongapar�,112.2882752,13.05029275,89,203
Huai Kha Khaeng,410.4507379,224.2430159,152,1153
Huascaran,4550.88103,501.6561597,3296,6157
Hwange,1033.547792,6.670806259,1011,1050
Iguazu,305.0815239,41.67037346,214,494
Indravati,589.3906014,145.3006602,302,868
Iona,415.1880548,54.74281075,323,942
Itabo,263.6202668,26.39950089,204,336
Iwokrama,107.9716606,31.60743188,62,389
Jaguas,740.8881239,216.0007691,152,1214
Jiulianshan,467.9453288,212.0913059,135,1198
Kabore Tambi,272.0421402,11.33132575,248,317
Kaeng Krachan,604.025279,179.7411084,233,1222
Kafue,1099.601677,13.45126106,1065,1146
Kafue Flats,980.1980969,1.20272402,973,988
Kakamega,1584.171739,44.51303872,1492,1999
Kanha,622.0312514,77.4887035,484,904
Kapama,547.4821165,34.20589162,462,649
Karen Mogensen,270.122271,147.9052947,-5,727
Kartabo,72.17983977,16.28137978,17,100
Kasungu,1063.707242,23.46489367,1004,1360
Kaziranga,142.5120824,140.5598191,13,748
Keoladeo,177.1086968,3.20856505,149,229
Kerinci Seblat,1805.33229,446.8123553,1195,3774
Kgalagadi Transfrontier,969.3357116,6.150853037,937,993
Khangchendzonga,4025.824872,1121.345435,1339,6798
Khao Ang Rue Nai,92.73256053,41.2989013,40,417
Khao Chamao-Khao Wong,126.90044,175.096829,8,1019
Khao Luang,465.2116599,371.7220839,32,1556
Khao Pra-Bang Khram,127.9546787,96.3740719,13,596
Khao Pu-Khao Ya,147.3475221,120.3452121,20,747
Khao Soi Dao,436.4821289,275.5351985,138,1571
Khao Sok,325.0880857,175.096125,27,963
Khao Yai,764.1350968,163.1422013,364,1348
Khaudum,1088.217393,7.838592735,1048,1105
Khlong Saeng,277.316842,158.2946077,67,839
Kibale,1279.714918,69.53131822,1087,1555
Kibira,1975.075067,353.3254796,1176,2575
Kidepo Valley,1206.623357,170.8668923,1020,2071
Kilimanjaro,3939.436832,686.0479897,2108,5880
Kizigo,1240.298623,64.37315367,1145,1570
Knysna,168.9255789,104.743244,-5,497
Korup,334.6676206,103.7783545,132,814
Kourtiagou,204.8386302,11.10214705,180,325
Krau,100.6302171,35.74801465,45,433
Kruger,305.9468337,35.46222796,221,393
Kudremukh,529.3504021,413.9666602,52,1650
Kui Buri,399.8114897,213.1444106,58,952
La Amistad,1931.494087,586.628455,653,3525
La Selva,97.36232401,70.80306685,31,373
La Sepultura,1006.822463,501.883734,121,2468
Lac Fitri,289.0205772,2.264420881,273,300
Lac Tele,334.4819108,4.780145613,318,355
Lago Puelo,589.8677618,391.9583449,185,1834
Laguna Blanca,1328.431315,64.99398241,1130,1708
Laguna de los Pozuelos,3744.927236,134.8275802,3654,4384
Laguna del Tigre,66.34168141,7.927635672,44,96
Lake Chilwa,623.1824768,2.936312204,616,740
Lake Manyara,1094.565707,178.9459784,953,1552
Lake Mweru,1150.797717,81.29976857,960,1350
Lake Nakuru,1851.854411,88.23535687,1751,2094
Lake Rukwa,1039.390828,74.91066235,795,1448
Lampi Island,91.27111011,51.68920625,-11,334
Lanin,1210.704038,374.154925,639,2375
Laokhowa-Burhachapori,66.70432914,3.876911353,51,87
Lauca,4540.198685,162.350921,4319,5328
Lefini,653.4224609,65.95440934,399,723
Lengwe,226.213946,41.46301593,139,347
Liwonde,503.279025,19.57721709,469,642
Lolldaiga,1978.30363,107.5956541,1770,2260
Lope,367.9345045,72.94329389,232,634
Los Alerces,1011.519087,421.7498254,477,2239
Los Amigos,319.7305977,22.39741157,252,371
Los Glaciares,854.7826533,473.4222121,171,1986
Lower Arataye,87.85355613,30.83677444,12,221
Luando,1204.780852,77.8090369,1087,1401
Luengue Luiana,1007.571229,3.106010803,994,1016
Madidi,1627.05546,356.5304206,831,2477
Madjoari,178.5010799,24.59316962,151,255
Mae Sa-Kog,662.8745115,346.0538353,302,1688
Mae Tuen,683.9672728,283.6635128,239,1402
Mae Wong,563.028691,249.5330748,138,1325
Mago,422.3219608,27.39623463,384,504
Mahale Mountains,1589.701013,309.3951662,1104,2341
Mahango,1009.801436,3.958578438,992,1025
Majete,351.9178531,97.50631077,172,745
Mamirau�,48.94830575,4.772379241,32,67
Mana Pools,471.514217,25.68040316,418,538
Manas,154.7488531,197.4290086,52,1156
Manda,392.6655123,20.85604574,348,436
Mandelia,303.9509295,1.905325162,296,313
Manovo Gounda Saint Floris,432.8887055,8.560205457,411,465
Manu,406.6991073,22.79722223,345,528
Maputo,50.90961705,10.52781696,19,82
Maraca,44.00448756,6.416841492,7,58
Mare aux Hippopotames,303.7470612,14.60195769,269,373
Marromeu,3.514720036,1.799857471,-4,21
Marsabit,1163.127569,171.798941,775,1691
Masai Mara,1547.838227,27.93580162,1479,1629
Massif du Ziama,744.4683545,213.0385936,419,1336
Mata Atlantica,701.2335739,62.91706444,557,903
Matang,11.60808979,8.381404005,-3,210
Matao de Cosmopolis,633.9887283,34.04969499,575,739
Matobo,1315.283926,66.33836714,1142,1526
Matusadona,961.5050956,212.0155609,511,1298
Mavinga,1133.693537,16.92752165,1075,1171
Maya,342.951154,23.31416631,268,401
Mbam et Djerem,761.2149984,27.2779413,691,887
Mburucuya,69.06828656,4.109526739,60,88
MCSE Reserves,108.4492164,16.57636981,58,158
Meru,567.8877024,44.71929963,462,737
Mestre Alvaro,19.94415588,15.40441389,-7,62
Mikumi,541.7456976,164.0029449,328,1202
Minneriya,152.8466843,40.77874562,73,371
Mocamedes,283.6197144,33.62720462,210,426
Mont Fouari,202.4201195,59.29202012,152,652
